06:16 hrs: James Bond clearing out to Home.
06:16 hrs: James Bond clearing in from Home.
06:23 hrs: Amos Foong clearing out to Home.
06:24 hrs: Amos Foong clearing in from Home.
06:24 hrs: Amos Foong clearing out to University.
06:25 hrs: A clearing out to B.
06:25 hrs:  clearing out to Ad.
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:12 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:13 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:14 hrs:  clearing out to .
07:15 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:18 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:20 hrs:  clearing out to .
07:21 hrs:  clearing out to .
07:21 hrs:  clearing out to .
07:21 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:22 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:23 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:24 hrs:  clearing out to .
07:25 hrs:  clearing out to .
07:25 hrs:  clearing out to .
07:25 hrs:  clearing out to .
07:26 hrs:  clearing out to jhg.
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:26 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:27 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:30 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:31 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:32 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:  clearing out to .
07:34 hrs:   clearing in from  .
07:34 hrs:   clearing in from  .
07:34 hrs:   clearing in from  .
07:34 hrs:   clearing in from  .
07:34 hrs:   clearing in from  .
07:35 hrs:   clearing in from  .
07:35 hrs:   clearing in from  .
07:35 hrs:   clearing in from  .
07:35 hrs:   clearing in from  .
07:35 hrs:   clearing in from  .
07:35 hrs:   clearing in from  .
07:35 hrs:   clearing in from  .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:37 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:43 hrs:  clearing out to .
07:47 hrs: aSDds clearing out to fdjk.
07:47 hrs: aSDds clearing in from fdjk.
07:48 hrs: Amos Foong clearing out to eajlgna.
07:49 hrs: Amos Foong clearing in from eajlgna.
07:50 hrs: dsuif clearing out to ljksb.
